,firstName,lastName,apiVersion,script,id,firstName,lastName,likelyGender,genderScale,score,probabilityCalibrated
PassengerId,FirstName,LastName,namsor_api_2.0.28,LATIN,9187a2f7-b006-4dc9-9f6b-4a2428ad205e,FirstName,LastName,female,0.24509382461197404,1.4404445218351327,0.622546912305987
9014_01,Nunkib,Dishearly,namsor_api_2.0.28,LATIN,76475dcb-216d-4599-84ce-09cb444ad7db,Nunkib,Dishearly,male,-0.21895880990033745,1.3200976953358534,0.6094794049501687
8615_02,Jarena,Buckentry,namsor_api_2.0.28,LATIN,2cc0e002-1155-490e-8384-1fb8e2e1ba43,Jarena,Buckentry,female,0.9852095740405082,11.735972279913085,0.9926047870202541
0358_01,Ronna,Connon,namsor_api_2.0.28,LATIN,38ab85e6-4604-4d8e-9995-b4b3f9d36f60,Ronna,Connon,female,0.9853955069252607,11.77926068950287,0.9926977534626303
2732_02,Jilly,Hurles,namsor_api_2.0.28,LATIN,417dffa0-fe36-4ab5-ab38-d3642453cbda,Jilly,Hurles,female,0.9685003802611987,9.954540460809184,0.9842501901305993
8594_01,Heremy,Clayson,namsor_api_2.0.28,LATIN,a0edd72a-4d81-4579-9168-9998e3160846,Heremy,Clayson,male,-0.039863698218180366,0.2121748739958491,0.5199318491090902
9241_01,Ants,Fone,namsor_api_2.0.28,LATIN,782747d0-e41b-4bde-8a20-d62ee6cc6b90,Ants,Fone,male,-0.9297835014036215,7.377868580766204,0.9648917507018108
8636_01,Panzel,Ruity,namsor_api_2.0.28,LATIN,56f0f934-78fc-49d7-b0a4-33a5085bd651,Panzel,Ruity,male,-0.28943052550405723,1.6679942687277034,0.6447152627520286
7232_01,Auvair,Seatearing,namsor_api_2.0.28,LATIN,68290db5-fab6-4560-96ff-276e07a4613d,Auvair,Seatearing,male,-0.15276765604814813,1.0256247529572207,0.5763838280240741
3283_03,Byront,Strongers,namsor_api_2.0.28,LATIN,f333e7e6-87a5-43bd-a8c6-151d8d39ffb6,Byront,Strongers,female,0.06891687842099703,0.5091990781128287,0.5344584392104985
3455_01,Cruis,Gelte,namsor_api_2.0.28,LATIN,62bdf5cb-f26b-42bf-80f5-06d8f06088e8,Cruis,Gelte,male,-0.15618754044250416,1.0491530826564173,0.5780937702212521
7981_02,Shanie,Paulllegory,namsor_api_2.0.28,LATIN,5f5bce1c-f08c-4ca1-9e83-0fb69a3cdd09,Shanie,Paulllegory,female,0.975684580682572,10.60539651003883,0.987842290341286
7790_02,Wifel,Casty,namsor_api_2.0.28,LATIN,4bc0d450-7c81-4780-a620-ef24d13b498c,Wifel,Casty,male,-0.37755349009497974,2.271283806130647,0.6887767450474899
2607_04,Ainoxa,Plattering,namsor_api_2.0.28,LATIN,ad89c2a0-df85-4990-a276-9b5918c1663a,Ainoxa,Plattering,female,0.4069824619779634,2.559841818299269,0.7034912309889817
2029_01,Lyne,Camerrison,namsor_api_2.0.28,LATIN,6c035704-55ce-4418-b4f1-de545dffe503,Lyne,Camerrison,female,0.9679979577131306,9.549669707947523,0.9839989788565653
8092_01,Mintard,Pulgaly,namsor_api_2.0.28,LATIN,73bb15bc-4c82-44c7-9517-6d0ab0f1c498,Mintard,Pulgaly,male,-0.3040980706782177,1.7515970869565862,0.6520490353391089
8604_02,Halesh,Stité,namsor_api_2.0.28,LATIN,7f861c06-5079-4603-8b47-4fae20f07d53,Halesh,Stité,male,-0.7167159120494877,5.08665116185135,0.8583579560247439
9052_01,Adamy,Hestes,namsor_api_2.0.28,LATIN,29aeec60-755f-4413-84de-bb49b99838c8,Adamy,Hestes,male,-0.04243629192637477,0.35786440391380847,0.5212181459631874
